Goal ,Game Number,Game Opponent,Player Name,Scored Goal,Shots On Goal,Rebound Goal,Assist,Pass-To-Assist,Insert/Penalty Corner,Foul Drawn,Touches
43,10,Syracuse,Sietske Bruning,1,1,0,0,0,0,0,1
44,10,Syracuse,Ashley Sessa,0,0,0,0,0,2,0,3
44,10,Syracuse,Romea Riccardo,0,0,0,0,0,0,0,2
44,10,Syracuse,Erin Matson,0,0,0,0,0,0,1,2
44,10,Syracuse,Kennedy Cliggett,1,1,1,0,0,0,0,1
44,10,Syracuse,Sietske Bruning,0,1,0,0,0,0,0,1
45,10,Syracuse,Sietske Bruning,0,0,0,1,0,0,0,1
45,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
46,10,Syracuse,Jasmina Smolenaars,0,0,0,0,1,0,0,1
46,10,Syracuse,Erin Matson,0,0,0,1,0,0,0,1
46,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
47,10,Syracuse,Ryleigh Heck,0,0,0,1,0,0,0,1
47,10,Syracuse,Erin Matson,1,1,0,0,0,0,0,1
48,10,Syracuse,Katie Dixon,0,0,0,0,0,0,0,1
48,10,Syracuse,Romea Riccardo,0,0,0,0,1,0,0,1
48,10,Syracuse,Ciana Riccardo,0,1,0,1,0,0,0,1
48,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
49,10,Syracuse,Ashley Sessa,0,0,0,1,0,1,0,1
49,10,Syracuse,Romea Riccardo,0,0,0,1,0,0,0,1
49,10,Syracuse,Sietske Bruning,1,1,0,0,0,0,0,1
50,10,Syracuse,Romea Riccardo,0,0,0,0,0,0,0,1
50,10,Syracuse,Erin Matson,1,1,0,0,0,0,1,2
51,10,Syracuse,Jasmina Smolenaars,0,0,0,0,0,0,1,1
51,10,Syracuse,Romea Riccardo,0,0,0,0,0,0,0,1
51,10,Syracuse,Erin Matson,1,1,0,0,0,0,0,1
52,10,Syracuse,Paityn Wirth,0,0,0,1,0,0,0,2
52,10,Syracuse,Erin Matson,0,0,0,0,0,0,0,1
52,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
53,10,Syracuse,Jasmina Smolenaars,0,0,0,0,0,0,0,1
53,10,Syracuse,Erin Matson,1,1,1,0,0,0,0,1
53,10,Syracuse,Ryleigh Heck,0,1,0,0,0,0,0,2
54,10,Syracuse,Ciana Riccardo,0,0,0,0,0,0,0,1
54,10,Syracuse,Lisa Slinkert,0,0,0,0,1,0,0,1
54,10,Syracuse,Erin Matson,0,0,0,1,0,0,0,1
54,10,Syracuse,Kennedy Cliggett,1,1,0,0,0,0,0,1
55,10,Syracuse,Paityn Wirth,1,1,0,0,0,0,1,2
55,10,Syracuse,Ashley Sessa,0,0,0,0,0,1,0,1
55,10,Syracuse,Jasmina Smolenaars,0,0,0,1,0,0,0,1
55,10,Syracuse,Madison Orobono,0,0,0,0,1,0,0,1
56,10,Syracuse,Jasmina Smolenaars,0,0,0,0,0,0,0,1
56,10,Syracuse,Lisa Slinkert,0,0,0,0,1,0,0,1
56,10,Syracuse,Erin Matson,0,0,0,1,0,0,0,1
56,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
57,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,2
57,10,Syracuse,Erin Matson,0,0,0,1,0,0,0,1
58,10,Syracuse,Sietske Bruning,0,0,0,0,0,0,1,1
58,10,Syracuse,Paityn Wirth,0,0,0,1,0,1,0,1
58,10,Syracuse,Romea Riccardo,0,0,0,1,0,0,0,1
58,10,Syracuse,Erin Matson,1,1,0,0,0,0,0,1
59,10,Syracuse,Madison Orobono,0,0,0,0,0,0,0,1
59,10,Syracuse,Sietske Bruning,0,0,0,0,0,0,0,1
59,10,Syracuse,Kelly Smith,0,0,0,0,1,0,0,1
59,10,Syracuse,Erin Matson,0,0,0,1,0,0,0,1
59,10,Syracuse,Kennedy Cliggett,1,1,0,0,0,0,0,1
60,10,Syracuse,Ashley Sessa,0,0,0,0,0,1,0,3
60,10,Syracuse,Sietske Bruning,0,0,0,0,0,0,1,1
60,10,Syracuse,Erin Matson,1,3,0,0,0,0,0,2
60,10,Syracuse,Meredith Sholder,0,1,0,0,0,0,1,1
61,10,Syracuse,Paityn Wirth,0,0,0,0,0,0,0,1
61,10,Syracuse,Erin Matson,0,0,0,0,0,0,1,1
61,10,Syracuse,Ashley Sessa,0,0,0,0,0,1,0,1
61,10,Syracuse,Sietske Bruning,0,0,0,1,0,0,0,1
61,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
61,10,Syracuse,Romea Riccardo,0,0,0,0,1,0,0,1
62,10,Syracuse,Ryleigh Heck,0,0,0,0,0,0,1,1
62,10,Syracuse,Ashley Sessa,0,0,0,0,0,1,0,1
62,10,Syracuse,Romea Riccardo,0,0,0,0,0,0,0,1
62,10,Syracuse,Erin Matson,0,1,0,0,0,0,0,1
62,10,Syracuse,Lisa Slinkert,1,1,1,0,0,0,0,1
63,10,Syracuse,Paityn Wirth,0,0,0,0,0,1,1,2
63,10,Syracuse,Romea Riccardo,0,0,0,0,0,0,0,1
63,10,Syracuse,Erin Matson,0,0,0,0,1,0,0,1
63,10,Syracuse,Sietske Bruning,0,0,0,1,0,0,0,1
63,10,Syracuse,Ryleigh Heck,1,1,0,0,0,0,0,1
64,11,Delaware,Kennedy Cliggett,1,1,0,0,0,0,0,1
64,11,Delaware,Erin Matson,0,0,0,0,0,0,0,2
64,11,Delaware,Meredith Sholder,0,0,0,0,0,0,0,1
65,11,Delaware,Ciana Riccardo,0,0,0,0,0,1,0,1
65,11,Delaware,Romea Riccardo,0,0,0,0,0,0,0,1
65,11,Delaware,Erin Matson,0,0,0,0,1,0,0,1
65,11,Delaware,Sietske Bruning,0,1,0,1,0,0,0,1
65,11,Delaware,Kennedy Cliggett,1,1,0,0,0,0,0,1
65,11,Delaware,Kiersten Thomassey,0,0,0,0,0,0,1,0
66,11,Delaware,Sietske Bruning,0,0,0,0,0,0,0,1
66,11,Delaware,Romea Riccardo,0,0,0,0,1,0,0,1
66,11,Delaware,Erin Matson,0,0,0,1,0,0,0,1
66,11,Delaware,Ryleigh Heck,1,1,0,0,0,0,0,1
67,11,Delaware,Ashley Sessa,1,0,0,0,0,0,0,1
67,11,Delaware,Kiersten Thomassey,0,0,0,1,0,0,0,1
67,11,Delaware,Erin Matson,0,0,0,0,1,0,0,1
68,11,Delaware,Lisa Slinkert,1,1,0,0,0,0,0,1
68,11,Delaware,Ashley Sessa,0,0,0,0,0,0,0,2
68,11,Delaware,Ryleigh Heck,0,0,0,0,0,0,0,1
68,11,Delaware,Romea Riccardo,0,0,0,0,0,0,0,1
69,12,Saint Josephs,Paityn Wirth,1,1,1,0,0,0,0,1
69,12,Saint Josephs,Erin Matson,0,1,0,0,0,0,0,1
70,12,Saint Josephs,Paityn Wirth,0,0,0,1,0,1,0,1
70,12,Saint Josephs,Romea Riccardo,0,0,0,1,0,0,0,1
70,12,Saint Josephs,Erin Matson,1,1,0,0,0,0,1,1
71,12,Saint Josephs,Erin Matson,1,1,0,0,0,0,0,1
71,12,Saint Josephs,Paityn Wirth,0,0,0,1,0,0,0,1
72,12,Saint Josephs,Erin Matson,1,1,0,0,0,0,1,1
73,12,Saint Josephs,Ashley Sessa,1,1,0,0,0,0,0,1
74,13,Penn State,Ciana Riccardo,0,0,0,1,0,0,0,1
74,13,Penn State,Erin Matson,1,1,0,0,0,0,0,1
74,13,Penn State,Kiersten Thomassey,0,0,0,0,1,0,0,1
75,13,Penn State,Paityn Wirth,0,0,0,0,0,0,0,1
75,13,Penn State,Jasmina Smolenaars,0,0,0,0,0,0,0,1
75,13,Penn State,Ryleigh Heck,0,0,0,0,0,0,0,1
75,13,Penn State,Ashley Sessa,0,1,0,0,0,0,0,1
75,13,Penn State,Erin Matson,1,1,1,0,0,0,0,1
76,13,Penn State,Ryleigh Heck,0,0,0,0,0,0,0,1
76,13,Penn State,Erin Matson,0,1,0,1,0,0,0,2
76,13,Penn State,Paityn Wirth,1,2,1,0,0,0,0,2
77,14,Northwestern,Erin Matson,0,0,0,0,0,0,1,0
77,14,Northwestern,Ashley Sessa,0,0,0,0,0,1,0,1
77,14,Northwestern,Meredith Sholder,0,0,0,0,1,0,0,1
77,14,Northwestern,Sietske Bruning,0,0,0,1,0,0,0,1
77,14,Northwestern,Ryleigh Heck,1,1,0,0,0,0,0,1
78,14,Northwestern,Romea Riccardo,0,0,0,0,1,0,0,1
78,14,Northwestern,Paityn Wirth,0,0,0,1,0,0,0,1
78,14,Northwestern,Erin Matson,1,1,0,0,0,0,0,1
